release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,updateSubscriptionData,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,InMemorySubscriptionManager,3,1,0,0,0,0,0,0,412,2,6,0,false
4.1.0,getLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,LedgerHandle,3,1,0,0,0,1,1,0,196,3,20,0,true
4.1.0,getChannel,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,ChannelEndPoint,3,1,0,0,0,1,0,0,196,1,1,0,true
4.1.0,gc,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,LedgerManager$GarbageCollector,1,1,0,0,0,0,0,0,204,1,1,0,false
4.1.0,setServerTcpNoDelay,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,ServerConfiguration,4,1,0,0,0,1,0,0,225,2,9,0,true
4.2.0,buildParsed,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$CookieFormat$Builder,7,2,1,0,0,1,2,2,205,2,6,2,false
4.2.0,removeTxn,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/HChannelHandler.java,HChannelHandler,3,1,0,0,0,0,0,0,113,1,1,0,false
4.2.0,performRequest,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,FIFODeliveryManager$ShutdownDeliveryManagerRequest,3,1,1,0,0,0,0,0,412,3,19,0,false
4.2.0,getCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,BKException,3,1,0,0,0,1,2,0,412,1,8,0,false
4.1.0,handleRequestAtOwner,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,SubscribeHandler,51,3,6,0,1,2,0,4,196,1,3,5,true
4.0.0,deleteComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,AsyncCallback$DeleteCallback,1,1,0,0,0,0,1,0,4,2,4,0,false
4.2.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ResponseBody,12,4,3,0,0,3,4,3,4,2,14,1,false
4.1.0,isPrefix,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,PathUtils,6,4,3,0,0,3,0,0,196,1,1,0,false
4.2.0,rangeToString,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/MSLedgerManagerFactory.java,MSLedgerManagerFactory,5,3,1,0,0,1,1,0,37,1,1,0,false
4.2.0,getSerializedSize,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubRequest,49,25,20,1,0,2,1,3,412,2,16,13,false
4.2.0,hasMessageType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageHeader,3,2,0,0,0,1,1,0,4,2,14,0,false
