release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,asyncRecoverBookieData,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,BookKeeperAdmin,13,1,0,0,0,0,1,0,484,3,22,0,true
4.1.0,clone,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest$Builder,3,1,0,0,0,1,0,2,196,1,2,0,true
4.2.0,processCmd,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole,41,8,9,4,1,4,4,6,216,2,8,0,true
4.1.0,clearSubscriberId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,5,1,2,0,0,1,0,2,196,1,2,0,true
4.1.0,findCandidateCommands,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,HedwigCommands,15,4,5,1,0,2,0,1,0,1,1,0,true
4.1.0,operationComplete,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,WriteCallback,26,9,3,4,0,1,0,11,196,1,4,0,true
4.2.0,processPacket,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,BookieServer,176,36,50,14,3,1,0,9,412,3,29,0,true
4.2.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,HierarchicalLedgerManager,19,2,0,1,0,1,0,9,420,3,9,0,true
4.2.0,clearSrcRegion,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$Message$Builder,6,1,2,0,0,1,0,2,412,2,16,0,false
4.2.0,getDescriptorForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageHeader$Builder,3,1,0,0,0,1,0,1,4,2,14,0,false
4.2.0,mergeSubscribeResponse,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ResponseBody$Builder,16,5,3,0,0,1,1,4,4,2,14,0,false
4.2.0,shutdown,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,NIOServerFactory,14,3,0,0,1,0,1,1,412,2,13,0,false
4.2.0,getRangesOrBuilderList,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRanges$Builder,8,2,0,0,0,2,0,0,412,2,16,0,false
4.0.0,operationComplete,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,ConnectCallback,30,10,2,4,0,2,0,7,4,1,3,0,false
4.2.0,openNewTopicLedger,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager$AcquireOp,40,1,0,0,0,0,3,2,412,3,16,0,false
4.1.0,initFields,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse,5,1,3,0,0,0,2,1,196,1,2,0,true
